text,CF,CF_full_label,CF_id,IC,IC_full_label,IC_id,skill,skill_full_label,skill_id
"I hear you, and it must feel awful to be criticized in that way.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,V,Validation,10
It sounds like you’re feeling really overwhelmed right now. That’s completely understandable given what you’re going through.,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,V,Validation,10
I can hear the pain in your voice when you talk about that experience. It must have been incredibly hard for you.,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,V,Validation,10
"And yet, as you say, you do have these desires and you do have your feelings, but- but you don't feel good about them?",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,RL,Reflective Listening,8
"Yeah, I get the disappointment - that here, a lot of these things you’d thought you'd worked through, and now the guilts and the feeling that only a part of you is acceptable to anybody else.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,RL,Reflective Listening,8
I guess I do catch the real deep puzzlement that you feel as to What the hell shall I do? What can I do?,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,RL,Reflective Listening,8
Hearing about your experience made me feel a deep sense of empathy for what you’ve gone through. It’s incredibly impactful.,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,G,Genuineness,9
"You have a great deal of patience and courage, I admire that.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,A,Affirmation,11
"As you talk about all of the troubles you've been through, do you know what strikes me? You are a real survivor. You've taken a lot of hard knocks, and you're still here.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,A,Affirmation,11
Thank you for being willing to discuss our relationship. It is very helpful.,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,A,Affirmation,11
"You intended not to drink at all this week, and you had five days with no alcohol at all. That's amazing! How did you do that?",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,A,Affirmation,11
You deeply love your children and want to do all you can to protect them.,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,A,Affirmation,11
I appreciate you being so open and forthright about what is going through your mind here.,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,A,Affirmation,11
I support your decision to set boundaries in that relationship. It sounds like it’s what you need for your well-being.,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,RA,Respect for Autonomy,12
"This is just my opinion of course, and you might disagree, but from my perspective, it seems that you have a number of qualities that make you a good candidate for this treatment.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,RA,Respect for Autonomy,12
"I'll tell you what I heard there and you tell me if I got it or not, but it's kind of like, you've been so busy from the time you were a girl, being a role model, and having these abilities, that you had no resting place.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,RA,Respect for Autonomy,12
You’ve got the strength and ability to handle this. What strategies have worked for you in the past?,B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,RA,Respect for Autonomy,12
"You’re safe here to express whatever you’re feeling. There’s no judgment, only support.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,,,
"I hear you, and I want to understand what you're experiencing.",B,Bond,1,EAR,"Empathy, Acceptance and Positive Regard",5,,,
You know yourself better than anyone else. What do you think would be the most helpful next step?,B,Bond,1,CP,Collaboration and Partnership,6,RA,Respect for Autonomy,12
We’ll move at a pace that feels comfortable for you. Let me know if you ever need to slow down or take a break.,B,Bond,1,CP,Collaboration and Partnership,6,RA,Respect for Autonomy,12
How do you feel about the options we’ve discussed? Which one resonates most with you?,B,Bond,1,CP,Collaboration and Partnership,6,RA,Respect for Autonomy,12
